Reference; Quantity; Footprint; Value; Description; Type; Voltage; Size; Tolerance; Power; Current; 
C201 ;1;CAP-SMD-SIZE-B;22u;'Low impedance aluminium electrolytic capacitor - Panasonic FP, FK or Similar;'Case B SMD Aluminium Electrolytic;'6V3;';';';';
C203 C204 C206 C208 C210 C215 C216 C217 C218 C225 C229 C230 C233 C304 C305 C307 C404 C405 C503 C602 C605 C606 ;22;SMD-0603;100n;'Ceramic capacitor;'X7R;'50V;'0603;'10%;';';
C205 C207 C209 C211 C220 C403 C603 C604 ;8;SMD-0603;10n;'Ceramic capacitor;'X7R;'50V;'0603;'10%;';';
C212 ;1;SMD-0603;5n6;'Ceramic capacitor;'X7R;'50V;'0603;'10%;';';
C213 ;1;SMD-0603;150p;'Ceramic capacitor;'C0G;'50V;'0603;'5%;';';
C214 ;1;SMD-0805;10u;'Ceramic capacitor;'X5R;'10V;'0805;'20%;';';
C219 C228 C301 C401 C501 ;5;SMD-0603;100p;'Ceramic capacitor;'NP0;'50V;'0603;'5%;';';
C221 C231 C232 ;3;SMD-0603;10u;'Ceramic capacitor;'X5R;'10V;'0603;'10%;';';
C222 C227 ;2;SMD-0603;33p;'Ceramic capacitor;'C0G;'25V;'0603;'5%;';';
C302 ;1;CAP-SMD-SIZE-B;10u;'Low impedance aluminium electrolytic capacitor - Panasonic FP, FK or Similar;'Case B SMD Aluminium Electrolytic;'10V;';';';';
C303 ;1;SMD-0805;22u;'Ceramic capacitor;'X5R;'25V;'0805;'20%;';';
C306 ;1;SMD-0603;22u;'Ceramic capacitor;'X5R;'10V;'0603;'20%;';';
C310 C601 ;2;SMD-0603;10u;'Ceramic capacitor;'X5R;'10V;'0603;'20%;';';
C402 C502 ;2;SMD-0603;22u;'Ceramic capacitor;'X5R;'10V;'0603;'10%;';';
C504 ;1;SMD-0603;1n;'Ceramic capacitor;'X7R;'50V;'0603;'10%;';';
D301 ;1;DIODE-SMA;B240A;'B240A 2A 40V Schottky Rectifier - SMA (DO-214AC);';';';';';';
D302 ;1;SMD-0603-LED;LED 0603;'LED - SMD - Vf 1.8V to 2.2V;';';'0603;';';';
D303 D304 ;2;DIODE-SOD-123;1N5819HW;'1A 40V Schottky Rectifier - SOD-123;';';';';';';
FID301 FID302 FID303 FID304 ;4;FID-1MM-3MM;MNT_HOLE;'1mm fiducial;';';';';';';
JP201 P601 ;2;CONN_SIL_2_1MM;CONN_2x1;'1x2 2.54mm pitch pin header;';';';';';';
L301 ;1;SMD-0805;600R@100MHz;'Ferrite bead, current rating 1A or higher, 600R@100MHz;';';'0805;';';'=>2A;
MNT301 MNT302 MNT303 MNT304 ;4;MNT_HOLE_3.2mm;MNT_HOLE;'3.2mm mounting hole;';';';';';';
P201 P510 P511 ;3;CONN_SIL_4_1MM;CONN_4x1;'1x4 2.54mm pitch pin header;';';';';';';
P301 ;1;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;'2 way screw terminal, any 2.54mm to 3.81mm pitch part;';';';';';';
P401 P402 P506 P507 P508 P509 ;6;CONN_SIL_3_1MM;CONN_3x1;'1x3 2.54mm pitch pin header;';';';';';';
P505 ;1;CONN_DIL_2X5_BOX_1MM;CONN_02X05;'2x5 2.54mm pitch box header;';';';';';';
P501 P502 P503 P504 P512 P513 P514 P515 ;8;CONN_SIL_5_1MM;CONN_5x1;'1x5 2.54mm pitch pin header;';';';';';';
R202 R208 R209 R210 R211 R212 R213 R216 R403 R404 R518 R519 R520 R522 R523 R524 R526 R527 R528 R530 R531 R532 R544 R545 R546 R547 R548 R549 R550 R551 ;30;SMD-0603;22;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R203 R204 R205 R502 R503 R504 R506 R507 R508 R510 R511 R512 R514 R515 R516 R535 R607 ;17;SMD-0603;0;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R206 ;1;SMD-0603;4k3;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R201 R207 R501 ;3;SMD-0603;1K;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R214 R222 R401 R533 ;4;SMD-0603;1;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R217 R220 R223 R405 ;4;SMD-0603;10K;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R219 R604 R605 R606 ;4;SMD-0603;100;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R218 R221 R225 ;3;SMD-0603;N/F;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R301 ;1;SMD-0603;47;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R302 ;1;SMD-0603;470;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R505 R509 R513 R517 R521 R525 ;6;SMD-0603;4K7;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R601 ;1;SMD-0603;22K;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R602 ;1;SMD-0603;11K5;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
R603 R608 ;2;SMD-0603;2K2;'Thick or thin film resistor;';';'0603;'1%;'63mW;';
SW601 ;1;SW_TACT_SMD_FSMSM;FSMSM;'3.5mm x 6mm SMD tactile switch - e.g. Alcoswitch FSMSM;';';';';';';
TP201 TP202 TP602 ;3;TP-1mm;PIN;
TP502 ;1;TP-TH-1mm;PIN;
TR201 ;1;IC-SOT-223;NJT4030PT3G;'On Semi NJT4030PT3G PNP Transistor (min 2W, 200hFE, 2A);';';';';';';
U201 ;1;IC-LFCSP72-HANDFIT;ADAU1452WBCPZ;'SigmaDSP Digital Audio Processor - Use ADAU1462, ADAU1466, ADAU1452, ADAU1451, or ADAU1450;';';';';';';
U202 ;1;IC_SOIC_8;M95M01-RMN6TP;'1 Mbit SPI Bus Serial EEPROM - 8 pin SOIC;';';';';';';
